trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm
modelO-pin-stopper_rotateRight_down,0.035,-0.157,1.7535,0.0,-0.157,15
modelO-pin-stopper_rotateRight_down-left,-1.163,-0.169,40.336,1.079,0.615,15
modelO-pin-stopper_rotateRight_left,-0.662,0.068,13.3295,-0.662,0.0,15
modelO-pin-stopper_rotateRight_up-left,-0.177,0.186,4.2755,0.234,0.133,15
modelK-pin_noRotate_up,0.093,0.284,1.194,0.0,0.284,0
modelK-pin_noRotate_up-right,0.227,0.161,2.8715,0.284,0.163,0
modelK-pin_noRotate_right,0.703,-0.04,5.9245,0.703,0.0,0
modelK-pin_noRotate_down-right,1.21,-0.099,36.6975,1.075,0.618,0
modelK-pin_noRotate_down,0.109,-0.343,0.6095,0.0,-0.343,0
modelK-pin_noRotate_down-left,-1.22,-0.156,38.1065,1.145,0.658,0
modelK-pin_noRotate_left,-0.677,0.009,17.115499999999997,-0.677,0.0,0
modelK-pin_noRotate_up-left,-0.328,0.25,2.387,0.374,0.215,0
modelK-pin_noRotate_rotate-clockwise,-0.008,-0.093,25.179000000000002,0.0,0.0,25.179
modelK-pin_noRotate_rotate-counterClockwise,0.097,-0.004,19.575499999999998,0.0,0.0,19.575
modelK-pin_rotateLeft_up,-0.009,0.153,1.6320000000000001,0.0,0.153,15
modelK-pin_rotateLeft_up-right,0.184,0.159,1.671,0.258,0.148,15
modelK-pin_rotateLeft_right,0.536,-0.03,11.784500000000001,0.536,0.0,15
modelK-pin_rotateLeft_down-right,1.077,-0.298,26.048000000000002,1.04,0.598,15
modelK-pin_rotateLeft_down,-0.025,-0.11,2.7249999999999996,0.0,-0.11,15
modelK-pin_rotateLeft_down-left,-1.083,-0.197,33.299,1.07,0.615,15
modelK-pin_rotateLeft_left,-0.547,-0.021,9.565999999999999,-0.547,0.0,15
modelK-pin_rotateLeft_up-left,-0.247,0.118,1.7575,0.266,0.153,15
modelK-pin_rotateRight_up,0.015,0.123,1.169,0.0,0.123,15
modelK-pin_rotateRight_up-right,0.259,0.134,1.214,0.374,0.215,15
modelK-pin_rotateRight_right,0.831,0.021,18.657,0.831,0.0,15
modelK-pin_rotateRight_down-right,1.12,-0.09,38.155,1.051,0.604,15
modelK-pin_rotateRight_down,0.02,-0.123,0.5845,0.0,-0.123,15
modelK-pin_rotateRight_down-left,-1.077,-0.157,22.002000000000002,0.949,0.545,15
modelK-pin_rotateRight_left,-0.751,-0.017,10.4985,-0.751,0.0,15
modelK-pin_rotateRight_up-left,-0.383,0.093,1.169,0.386,0.222,15
