trial,span,depth,theta,ideal-span,ideal-depth,ideal-theta,magnitude
modelO-pin-noStopper_1_noRotate_down-right,0.658,-0.391,0.0,0.748,0.426,0,0.765
modelO-pin-noStopper_2_noRotate_down-right,1.187,-0.179,34.992,1.025,0.583,0,1.2
modelO-pin-noStopper_1_noRotate_down,0.007,-0.309,1.169,0.0,-0.309,0,0.309
modelO-pin-noStopper_2_noRotate_down,0.017,-0.303,1.169,0.0,-0.303,0,0.303
modelO-pin-noStopper_1_noRotate_down-left,-0.781,-0.402,5.826,0.763,0.435,0,0.878
modelO-pin-noStopper_2_noRotate_down-left,-1.468,-0.203,53.839,1.263,0.719,0,1.482
modelO-pin-noStopper_1_noRotate_left,-0.615,-0.116,1.123,-0.615,0.0,0,0.626
modelO-pin-noStopper_2_noRotate_left,-0.641,-0.051,13.434,-0.641,0.0,0,0.643
modelO-pin-noStopper_1_noRotate_up-left,-0.155,0.086,3.46,0.209,0.119,0,0.177
modelO-pin-noStopper_2_noRotate_up-left,-0.318,0.275,11.768,0.39,0.222,0,0.42
modelO-pin-noStopper_1_noRotate_rotate-clockwise,0.098,-0.058,19.604,0.0,0.0,19.604,0.114
modelO-pin-noStopper_2_noRotate_rotate-clockwise,0.018,-0.038,26.67,0.0,0.0,26.67,0.042
modelO-pin-noStopper_1_noRotate_rotate-counterClockwise,-0.035,0.057,26.764,0.0,0.0,26.764,0.067
modelO-pin-noStopper_2_noRotate_rotate-counterClockwise,0.154,0.078,14.292,0.0,0.0,14.292,0.173
modelO-pin-noStopper_1_rotateLeft_up,0.015,0.205,1.219,0.0,0.205,15,0.206
modelO-pin-noStopper_2_rotateLeft_up,-0.013,0.14,1.219,0.0,0.14,15,0.141
modelO-pin-noStopper_1_rotateLeft_up-right,0.225,0.209,11.768,0.299,0.17,15,0.307
modelO-pin-noStopper_2_rotateLeft_up-right,0.282,0.153,1.169,0.413,0.235,15,0.321
modelO-pin-noStopper_1_rotateLeft_right,0.573,0.153,10.84,0.573,0.0,15,0.593
modelO-pin-noStopper_2_rotateLeft_right,0.755,-0.089,4.677,0.755,0.0,15,0.76
modelO-pin-noStopper_1_rotateLeft_down-right,1.117,-0.12,35.215,1.073,0.611,15,1.123
modelO-pin-noStopper_2_rotateLeft_down-right,1.056,-0.109,33.024,1.142,0.65,15,1.062
modelO-pin-noStopper_1_rotateLeft_down,-0.024,-0.247,0.0,0.0,-0.247,15,0.248
modelO-pin-noStopper_2_rotateLeft_down,-0.013,-0.093,0.02,0.0,-0.093,15,0.094
modelO-pin-noStopper_1_rotateLeft_down-left,-1.071,-0.145,33.69,0.951,0.542,15,1.081
modelO-pin-noStopper_2_rotateLeft_down-left,-1.243,-0.207,56.31,1.103,0.628,15,1.26
modelO-pin-noStopper_1_rotateLeft_left,-0.397,0.038,7.125,-0.397,0.0,15,0.399
modelO-pin-noStopper_2_rotateLeft_left,-0.598,-0.06,12.479,-0.598,0.0,15,0.601
modelO-pin-noStopper_1_rotateLeft_up-left,-0.096,0.218,2.338,0.219,0.124,15,0.238
modelO-pin-noStopper_2_rotateLeft_up-left,-0.227,0.125,1.169,0.229,0.131,15,0.259
modelO-pin-noStopper_1_rotateRight_up,-0.011,0.16,1.169,0.0,0.16,15,0.16
modelO-pin-noStopper_2_rotateRight_up,0.041,0.193,2.338,0.0,0.193,15,0.197
modelO-pin-noStopper_1_rotateRight_up-right,0.171,0.129,1.169,0.198,0.113,15,0.214
modelO-pin-noStopper_2_rotateRight_up-right,0.395,0.228,0.0,0.398,0.226,15,0.456
modelO-pin-noStopper_1_rotateRight_right,0.578,0.032,2.386,0.578,0.0,15,0.579
modelO-pin-noStopper_2_rotateRight_right,0.835,-0.095,12.235,0.835,0.0,15,0.84
modelO-pin-noStopper_1_rotateRight_down-right,1.081,-0.016,34.992,1.078,0.614,15,1.081
modelO-pin-noStopper_2_rotateRight_down-right,1.361,-0.222,31.192,1.188,0.676,15,1.379
modelO-pin-noStopper_1_rotateRight_down,-0.007,-0.056,3.652,0.0,-0.056,15,0.056
modelO-pin-noStopper_2_rotateRight_down,-0.063,-0.21,1.169,0.0,-0.21,15,0.219
modelO-pin-noStopper_1_rotateRight_down-left,-1.236,-0.264,33.998,1.081,0.616,15,1.264
modelO-pin-noStopper_2_rotateRight_down-left,-1.16,-0.296,22.891,1.05,0.598,15,1.197
modelO-pin-noStopper_1_rotateRight_left,-0.622,-0.004,4.739,-0.622,0.0,15,0.622
modelO-pin-noStopper_2_rotateRight_left,-0.857,0.04,21.865,-0.857,0.0,15,0.858
modelO-pin-noStopper_1_rotateRight_up-left,-0.271,0.01,1.219,0.497,0.283,15,0.271
modelO-pin-noStopper_2_rotateRight_up-left,-0.263,0.151,5.826,0.365,0.208,15,0.303
modelO-pin-stopper_1_noRotate_up,0.043,0.34,1.169,0.0,0.34,0,0.343
modelO-pin-stopper_2_noRotate_up,0.026,0.301,0.0,0.0,0.301,0,0.302
modelO-pin-stopper_1_noRotate_up-right,0.152,0.128,2.386,0.182,0.104,0,0.199
modelO-pin-stopper_2_noRotate_up-right,0.402,0.121,2.386,0.374,0.213,0,0.42
modelO-pin-stopper_1_noRotate_right,0.507,-0.018,6.995,0.507,0.0,0,0.507
modelO-pin-stopper_2_noRotate_right,0.641,0.043,16.927,0.641,0.0,0,0.642
modelO-pin-stopper_1_noRotate_down-right,0.591,-0.346,0.0,0.596,0.339,0,0.685
modelO-pin-stopper_2_noRotate_down-right,1.202,-0.176,38.089,1.192,0.679,0,1.215
modelO-pin-stopper_1_noRotate_down,-0.04,-0.266,0.0,0.0,-0.266,0,0.269
modelO-pin-stopper_2_noRotate_down,-0.017,-0.224,2.386,0.0,-0.224,0,0.225
modelO-pin-stopper_1_noRotate_down-left,-0.546,-0.382,1.169,0.583,0.332,0,0.666
modelO-pin-stopper_2_noRotate_down-left,-1.184,-0.003,41.73,1.205,0.686,0,1.184
modelO-pin-stopper_1_noRotate_left,-0.699,0.027,14.292,-0.699,0.0,0,0.7
