trial,span-norm,depth-norm,theta-norm,opt-span-norm,opt-depth-norm,opt-theta-norm,Differance
modelO-pin-noStopper_1_rotateLeft_up,0.015,0.205,1.219,0,0.205,15,0.25552382421733855
modelO-pin-noStopper_2_rotateLeft_up,-0.013,0.14,1.219,0,0.14,15,0.25352382421733854
modelO-pin-noStopper_1_rotateLeft_up-right,0.225,0.209,11.768,0.299,0.17,15,0.14005711372740934
modelO-pin-noStopper_2_rotateLeft_up-right,0.282,0.153,1.169,0.413,0.235,15,0.39594421609935204
modelO-pin-noStopper_1_rotateLeft_right,0.573,0.153,10.84,0.573,0,15,0.2256056968829641
modelO-pin-noStopper_2_rotateLeft_right,0.755,-0.089,4.677,0.755,0,15,0.26917033868337464
modelO-pin-noStopper_1_rotateLeft_down-right,1.117,-0.12,35.215,1.073,0.611,15,1.085141324452238
modelO-pin-noStopper_2_rotateLeft_down-right,1.056,-0.109,33.024,1.142,0.65,15,1.0784348063259255
modelO-pin-noStopper_1_rotateLeft_down,-0.024,-0.247,0,0,-0.247,15,0.28579938779914943
modelO-pin-noStopper_2_rotateLeft_down,-0.013,-0.093,0.02,0,-0.093,15,0.2744503219487506
modelO-pin-noStopper_1_rotateLeft_down-left,-1.071,-0.145,33.69,0.951,0.542,15,2.4617237533130316
modelO-pin-noStopper_2_rotateLeft_down-left,-1.243,-0.207,56.31,1.103,0.628,15,3.2111643837745603
modelO-pin-noStopper_1_rotateLeft_left,-0.397,0.038,7.125,-0.397,0,15,0.17544467859455345
modelO-pin-noStopper_2_rotateLeft_left,-0.598,-0.06,12.479,-0.598,0,15,0.10399975044277704
modelO-pin-noStopper_1_rotateLeft_up-left,-0.096,0.218,2.338,0.219,0.124,15,0.5497199198338771
modelO-pin-noStopper_2_rotateLeft_up-left,-0.227,0.125,1.169,0.229,0.131,15,0.6974359608191725
modelO-pin-noStopper_1_rotateRight_up,-0.011,0.16,1.169,0,0.16,15,0.2523964888433357
modelO-pin-noStopper_2_rotateRight_up,0.041,0.193,2.338,0,0.193,15,0.26199358988752197
modelO-pin-noStopper_1_rotateRight_up-right,0.171,0.129,1.169,0.198,0.113,15,0.2727811984962861
modelO-pin-noStopper_2_rotateRight_up-right,0.395,0.228,0,0.398,0.226,15,0.2654049390746134
modelO-pin-noStopper_1_rotateRight_right,0.578,0.032,2.386,0.578,0,15,0.2521558318465647
modelO-pin-noStopper_2_rotateRight_right,0.835,-0.095,12.235,0.835,0,15,0.14325835381764326
modelO-pin-noStopper_1_rotateRight_down-right,1.081,-0.016,34.992,1.078,0.614,15,0.9789333668753573
modelO-pin-noStopper_2_rotateRight_down-right,1.361,-0.222,31.192,1.188,0.676,15,1.1971161508893113
modelO-pin-noStopper_1_rotateRight_down,-0.007,-0.056,3.652,0,-0.056,15,0.2050599635163165
modelO-pin-noStopper_2_rotateRight_down,-0.063,-0.21,1.169,0,-0.21,15,0.3043964888433357
modelO-pin-noStopper_1_rotateRight_down-left,-1.236,-0.264,33.998,1.081,0.616,15,2.8100628741669182
modelO-pin-noStopper_2_rotateRight_down-left,-1.16,-0.296,22.891,1.05,0.598,15,2.5216987633567887
modelO-pin-noStopper_1_rotateRight_left,-0.622,-0.004,4.739,-0.622,0,15,0.18308823454713818
modelO-pin-noStopper_2_rotateRight_left,-0.857,0.04,21.865,-0.857,0,15,0.15981685314941066
modelO-pin-noStopper_1_rotateRight_up-left,-0.271,0.01,1.219,0.497,0.283,15,1.055602348041884
modelO-pin-noStopper_2_rotateRight_up-left,-0.263,0.151,5.826,0.365,0.208,15,0.7906979832634371
modelO-pin-stopper_1_noRotate_up,0.043,0.34,1.169,0,0.34,0,0.0634028989558137
modelO-pin-stopper_2_noRotate_up,0.026,0.301,0,0,0.301,0,0.026
modelO-pin-stopper_1_noRotate_up-right,0.152,0.128,2.386,0.182,0.104,0,0.0800623013771818
modelO-pin-stopper_2_noRotate_up-right,0.402,0.121,2.386,0.374,0.213,0,0.1378100781939552
modelO-pin-stopper_1_noRotate_right,0.507,-0.018,6.995,0.507,0,0,0.14008578117700335
modelO-pin-stopper_2_noRotate_right,0.641,0.043,16.927,0.641,0,0,0.3384318824850801
modelO-pin-stopper_1_noRotate_down-right,0.591,-0.346,0,0.596,0.339,0,0.6850182479321263
